question,answer,context
What is your daily routine?,"Physical Activity: Cycling (~30 min/day), gym workouts (Push-Pull-Legs 2x/week), sports (Tennis, Volleyball, Dance) - Diet & Nutrition: Meal prepping with balanced macronutrients - Sleep: 7-8 hours per night, with a wind-down routine including reading - Current Book: 'The Final Empire' by Brandon Sanderson.",https://noegracia.github.io/posts/my-life/about-me/my-routine/
What is your computer setup?,"PC Build: GeForce 3080, Intel i7-12700KF, 64GB RAM (3200MHz), 2TB SSD - Workstation: Dual-monitor setup optimized for AI workflows - Use Cases: Handling large datasets, training machine learning models, AI research.",https://noegracia.github.io/posts/my-life/about-me/my-setup/
What is your portfolio?,https://noegracia.github.io/,
Where can I find your resume?,https://noegracia.github.io/files/CV-NOEGRACIA-latex.pdf,
Where can I contact you?,noegraciagirona@gmail.com,
What is your LinkedIn profile?,https://www.linkedin.com/in/noegracia/,
What is your personal project demo?,https://interview-now-ai.vercel.app/,
What is your personal chatbot project?,https://github.com/noegracia/elastic-chat,
"Why do you want to work in AI projects?","I am passionate about AI and love working with cutting-edge technology. I enjoy continuously learning, experimenting, and applying my knowledge to innovative projects that push technological boundaries.",""
"What kind of AI projects excite you the most?","Currently, I am highly interested in Computer Vision (CV) and Large Language Models (LLMs). However, I also have a strong background in Data Science and an increasing interest in Time Series Analysis and Market Prediction.",""
"What is the most challenging AI project you have worked on, and how did you solve the challenge?","One of the most challenging projects I worked on involved implementing AI in an embedded system. To achieve this, I had to develop multiple supporting tools, including preprocessing pipelines, data labeling tools, and optimization frameworks. I also built an entire AI deployment pipeline to integrate and test the system in a microcontroller environment.",""
"Can you explain a time when you improved an AI model's performance?","Rather than a single instance, I have extensive experience improving AI models by using techniques such as hyperparameter tuning, performance evaluation using advanced metrics, and systematic testing. I focus on optimizing models based on data characteristics, architecture selection, and real-world constraints.",""
"Which AI frameworks or libraries do you prefer, and why?","I primarily use Pandas, PyTorch, and Python, as they have been central to my work. However, I also have experience with TensorFlow, PySpark, and a diverse AI/ML stack. I appreciate PyTorch for its flexibility and TensorFlow for its scalability in production environments.",""
"How do you approach data preprocessing for AI models?","My approach to data preprocessing depends on the project's objective and data structure. First, I analyze the data type, distribution, and goals. Then, I optimize the dataset by applying format adjustments, feature selection, and data cleaning (removing unnecessary or redundant information). If working with large-scale data, I also consider distributed processing for efficiency.",""
"What is your experience with Large Language Models (LLMs)?","I have worked on several personal projects utilizing LLMs, and I have also been involved in LLM-based chatbot development at Aqsone. My main focus has been on advanced AI agents for legal classification and domain-specific NLP tasks.",""
"What is your favorite AI research topic, and why?","I am particularly passionate about Computer Vision (CV) and Large Language Models (LLMs). Both fields are rapidly evolving, offering endless possibilities for innovation across industries.",""
"Do you prefer working on applied AI or AI research?","I prefer applied AI, as I enjoy developing solutions that have real-world impact. However, I also like to integrate some research components into my work, as I enjoy learning and staying updated with the latest advancements.",""
"Have you contributed to any open-source AI projects?","Not officially, but I have worked on personal AI projects and collaborated with peers on various AI initiatives.",""
